Frame,UTC_time,x1,y1,x2,y2,CLASS,predicted_depth,actual_depth
4206,2025-06-08 08:30:27.939880+00:00,468,194,550,283,bus,13.284312528722426,16.721582
4206,2025-06-08 08:30:27.939880+00:00,273,223,321,336,person,8.86861105526195,8.0608835
4206,2025-06-08 08:30:27.939880+00:00,1058,254,1118,299,car,12.588637408088236,8.616457
4206,2025-06-08 08:30:27.939880+00:00,0,188,267,367,truck,6.257396024816177,3.0783741
4206,2025-06-08 08:30:27.939880+00:00,428,221,503,295,bus,13.132495356541053,16.705128
4206,2025-06-08 08:30:27.939880+00:00,0,189,264,367,car,6.257396024816177,3.0783741
4206,2025-06-08 08:30:27.939880+00:00,544,201,628,272,truck,17.24725341796875,19.728212
4206,2025-06-08 08:30:27.939880+00:00,427,223,501,296,car,13.132495356541053,16.705128
4206,2025-06-08 08:30:27.939880+00:00,550,198,633,270,bus,12.739887312346815,18.546013
4207,2025-06-08 08:30:28.156509+00:00,720,206,1013,366,car,5.6460308000153185,3.5755122
4207,2025-06-08 08:30:28.156509+00:00,627,228,731,305,car,7.827228620940564,9.837831
4207,2025-06-08 08:30:28.156509+00:00,233,219,283,347,person,8.45506196863511,6.5205226
4207,2025-06-08 08:30:28.156509+00:00,0,175,221,389,truck,5.670245002297794,2.1812267
4207,2025-06-08 08:30:28.156509+00:00,1123,253,1247,351,motorcycle,6.908029593673407,4.4482136
4207,2025-06-08 08:30:28.156509+00:00,470,195,547,287,bus,13.104883530560661,15.039463
4207,2025-06-08 08:30:28.156509+00:00,392,235,416,295,person,15.826715207567402,18.803133
4207,2025-06-08 08:30:28.156509+00:00,562,208,625,273,truck,17.7692045323989,18.905138
4207,2025-06-08 08:30:28.156509+00:00,1171,233,1279,317,car,7.630210128484988,5.556487
4207,2025-06-08 08:30:28.156509+00:00,1206,244,1279,317,motorcycle,7.630210128484988,5.8373723
4207,2025-06-08 08:30:28.156509+00:00,413,222,494,302,truck,13.069913976332721,14.869769
4207,2025-06-08 08:30:28.156509+00:00,1201,235,1279,315,car,7.665903128829657,5.581058
4207,2025-06-08 08:30:28.156509+00:00,266,229,347,311,truck,9.034731995825673,6.8015494
4207,2025-06-08 08:30:28.156509+00:00,411,222,495,302,car,13.069913976332721,14.869769
4208,2025-06-08 08:30:28.373391+00:00,711,207,1004,367,car,5.58865416283701,3.573981
4208,2025-06-08 08:30:28.373391+00:00,172,217,229,363,person,7.287230248544731,6.105914
